Id,Labels
PS_174,Substantiated
PS_175,Negative
PS_176,Negative
PS_177,Neutral
PS_178,Positive
PS_179,Opinionated
PS_180,Negative
PS_181,None of the above
PS_182,Sarcastic
PS_183,Negative
PS_184,Negative
PS_185,Negative
PS_186,None of the above
PS_187,Sarcastic
PS_188,Substantiated
PS_189,Positive
PS_190,Negative
PS_191,Negative
PS_192,Negative
PS_193,Positive
PS_194,Negative
PS_195,Positive
PS_196,Negative
PS_197,Neutral
PS_198,Negative
PS_199,Negative
PS_200,Negative
PS_201,Opinionated
PS_202,Negative
PS_203,Neutral
PS_204,Substantiated
PS_205,Positive
PS_206,Neutral
PS_207,Positive
PS_208,Substantiated
PS_209,Positive
PS_210,Negative
PS_211,Negative
PS_212,Negative
PS_213,Positive
PS_214,Substantiated
PS_215,Positive
PS_216,Negative
PS_217,Substantiated
PS_218,Negative
PS_219,Positive
PS_220,Substantiated
PS_221,Neutral
PS_222,Neutral
PS_223,Sarcastic
PS_224,Negative
PS_225,Substantiated
PS_226,Substantiated
PS_227,Negative
PS_228,Negative
PS_229,Substantiated
PS_230,Negative
PS_231,Negative
PS_232,Negative
PS_233,Neutral
PS_234,Negative
PS_235,Negative
PS_236,Negative
PS_237,Negative
PS_238,Sarcastic
PS_239,Neutral
PS_240,Substantiated
PS_241,Negative
PS_242,None of the above
PS_243,Negative
PS_244,Neutral
PS_245,Substantiated
PS_246,Neutral
PS_247,Positive
PS_248,Sarcastic
PS_249,Positive
PS_250,Negative
PS_251,None of the above
PS_252,Neutral
PS_253,Substantiated
PS_254,Negative
PS_255,Neutral
PS_256,Sarcastic
PS_257,Positive
PS_258,Positive
PS_259,Substantiated
PS_260,Substantiated
PS_261,Positive
PS_262,Sarcastic
PS_263,Negative
PS_264,Negative
PS_265,Negative
PS_266,Substantiated
PS_267,Negative
PS_268,Negative
PS_269,Substantiated
PS_270,Positive
PS_271,Positive
PS_272,Sarcastic
PS_273,None of the above
PS_274,Positive
PS_275,Neutral
PS_276,Negative
PS_277,Negative
PS_278,Positive
PS_279,Substantiated
PS_280,Negative
PS_281,Negative
PS_282,Negative
PS_283,Substantiated
PS_284,Positive
PS_285,Negative
PS_286,Substantiated
PS_287,Negative
PS_288,Substantiated
PS_289,Substantiated
PS_290,Neutral
PS_291,None of the above
PS_292,Positive
PS_293,Substantiated
PS_294,Substantiated
PS_295,Substantiated
PS_296,Negative
PS_297,Negative
PS_298,Positive
PS_299,Positive
PS_300,Substantiated
PS_301,None of the above
PS_302,Negative
PS_303,Neutral
PS_304,Sarcastic
PS_305,Substantiated
PS_306,Negative
PS_307,Sarcastic
PS_308,Substantiated
PS_309,Substantiated
PS_310,Substantiated
PS_311,Substantiated
PS_312,Positive
PS_313,Positive
PS_314,Substantiated
PS_315,Negative
PS_316,Negative
PS_317,Negative
PS_318,Substantiated
PS_319,Negative
PS_320,Substantiated
PS_321,None of the above
PS_322,Substantiated
PS_323,Neutral
PS_324,Positive
PS_325,Negative
PS_326,Substantiated
PS_327,Positive
PS_328,Substantiated
PS_329,Negative
PS_330,Neutral
PS_331,Substantiated
PS_332,Negative
PS_333,None of the above
PS_334,Sarcastic
PS_335,Negative
PS_336,Neutral
PS_337,Negative
PS_338,Substantiated
PS_339,Neutral
PS_340,Positive
PS_341,Negative
PS_342,Positive
PS_343,Neutral
PS_344,Negative
PS_345,Positive
PS_346,Substantiated
PS_347,Negative
PS_348,Positive
PS_349,Positive
PS_350,Substantiated
PS_351,Substantiated
PS_352,Positive
PS_353,Negative
PS_354,Negative
PS_355,Positive
PS_356,Positive
PS_357,Neutral
PS_358,Substantiated
PS_359,Neutral
PS_360,Negative
PS_361,Positive
PS_362,Negative
PS_363,Substantiated
PS_364,Sarcastic
PS_365,Negative
PS_366,Neutral
PS_367,Negative
PS_368,Negative
PS_369,Substantiated
PS_370,Substantiated
PS_371,Negative
PS_372,Negative
PS_373,Neutral
PS_374,Negative
PS_375,Substantiated
PS_376,Neutral
PS_377,Substantiated
PS_378,Sarcastic
PS_379,Substantiated
PS_380,Substantiated
PS_381,Sarcastic
PS_382,Negative
PS_383,Neutral
PS_384,Sarcastic
PS_385,Substantiated
PS_386,Substantiated
PS_387,Negative
PS_388,Substantiated
PS_389,Negative
PS_390,Negative
PS_391,Negative
PS_392,Negative
PS_393,Neutral
PS_394,Positive
PS_395,Sarcastic
PS_396,Positive
PS_397,Negative
PS_398,Negative
PS_399,Substantiated
PS_400,Negative
PS_401,Sarcastic
PS_402,Negative
PS_403,Substantiated
PS_404,Negative
PS_405,Substantiated
PS_406,Negative
PS_407,Negative
PS_408,Sarcastic
PS_409,Sarcastic
PS_410,Neutral
PS_411,None of the above
PS_412,Negative
PS_413,Substantiated
PS_414,Sarcastic
PS_415,Neutral
PS_416,Positive
PS_417,Negative
PS_418,Negative
PS_419,Neutral
PS_420,Negative
PS_421,Negative
PS_422,Positive
PS_423,Negative
PS_424,Neutral
PS_425,Neutral
PS_426,Negative
PS_427,Negative
PS_428,Negative
PS_429,Neutral
PS_430,Sarcastic
PS_431,Substantiated
PS_432,Negative
PS_433,Positive
PS_434,Neutral
PS_435,Positive
PS_436,Negative
PS_437,Substantiated
PS_438,Negative
PS_439,Substantiated
PS_440,None of the above
PS_441,Negative
PS_442,Positive
PS_443,Substantiated
PS_444,Positive
PS_445,Negative
PS_446,Negative
PS_447,Negative
PS_448,Negative
PS_449,Positive
PS_450,Substantiated
PS_451,Negative
PS_452,Negative
PS_453,Positive
PS_454,Sarcastic
PS_455,Neutral
PS_456,None of the above
PS_457,Negative
PS_458,Negative
PS_459,Positive
PS_460,Neutral
PS_461,Negative
PS_462,Negative
PS_463,Positive
PS_464,Negative
PS_465,Substantiated
PS_466,Neutral
PS_467,Substantiated
PS_468,Positive
PS_469,Negative
PS_470,Neutral
PS_471,Negative
PS_472,Neutral
PS_473,Substantiated
PS_474,Substantiated
PS_475,Negative
PS_476,Negative
PS_477,Negative
PS_478,Negative
PS_479,Positive
PS_480,Negative
PS_481,Sarcastic
PS_482,Substantiated
PS_483,Sarcastic
PS_484,Neutral
PS_485,Neutral
PS_486,None of the above
PS_487,Negative
PS_488,Substantiated
PS_489,Positive
PS_490,Positive
PS_491,Positive
PS_492,Negative
PS_493,Negative
PS_494,Neutral
PS_495,Negative
PS_496,Negative
PS_497,Substantiated
PS_498,Substantiated
PS_499,Substantiated
PS_500,None of the above
PS_501,Positive
PS_502,Neutral
PS_503,Substantiated
PS_504,Sarcastic
PS_505,Substantiated
PS_506,Negative
PS_507,Neutral
PS_508,Positive
PS_509,Substantiated
PS_510,Negative
PS_511,Opinionated
PS_512,Neutral
PS_513,Negative
PS_514,Substantiated
PS_515,Negative
PS_516,Positive
PS_517,Negative
PS_518,Negative
PS_519,Negative
PS_520,Substantiated
PS_521,Positive
PS_522,Substantiated
PS_523,Substantiated
PS_524,Positive
PS_525,Sarcastic
PS_526,Positive
PS_527,Substantiated
PS_528,None of the above
PS_529,Negative
PS_530,Substantiated
PS_531,Negative
PS_532,Positive
PS_533,Negative
PS_534,Negative
PS_535,Substantiated
PS_536,Negative
PS_537,Opinionated
PS_538,Negative
PS_539,None of the above
PS_540,Negative
PS_541,Sarcastic
PS_542,Negative
PS_543,Positive
PS_544,Negative
