Id,Labels
PS_174,Opinionated
PS_175,Opinionated
PS_176,Opinionated
PS_177,Sarcastic
PS_178,Opinionated
PS_179,Opinionated
PS_180,Opinionated
PS_181,None of the above
PS_182,Sarcastic
PS_183,Opinionated
PS_184,Sarcastic
PS_185,Opinionated
PS_186,None of the above
PS_187,Opinionated
PS_188,Opinionated
PS_189,Sarcastic
PS_190,Sarcastic
PS_191,Opinionated
PS_192,Sarcastic
PS_193,Opinionated
PS_194,Opinionated
PS_195,Opinionated
PS_196,Opinionated
PS_197,Opinionated
PS_198,Opinionated
PS_199,Negative
PS_200,Opinionated
PS_201,Opinionated
PS_202,Opinionated
PS_203,Opinionated
PS_204,Opinionated
PS_205,Opinionated
PS_206,Positive
PS_207,Opinionated
PS_208,Opinionated
PS_209,Sarcastic
PS_210,Sarcastic
PS_211,Neutral
PS_212,Opinionated
PS_213,Sarcastic
PS_214,Neutral
PS_215,Positive
PS_216,Opinionated
PS_217,Opinionated
PS_218,Opinionated
PS_219,Opinionated
PS_220,Opinionated
PS_221,Neutral
PS_222,Opinionated
PS_223,Sarcastic
PS_224,Opinionated
PS_225,Substantiated
PS_226,Opinionated
PS_227,Positive
PS_228,Opinionated
PS_229,Opinionated
PS_230,Opinionated
PS_231,Positive
PS_232,Negative
PS_233,Sarcastic
PS_234,Opinionated
PS_235,Sarcastic
PS_236,Opinionated
PS_237,Opinionated
PS_238,Opinionated
PS_239,Neutral
PS_240,Positive
PS_241,Opinionated
PS_242,Opinionated
PS_243,Opinionated
PS_244,Opinionated
PS_245,Opinionated
PS_246,Opinionated
PS_247,Positive
PS_248,Sarcastic
PS_249,Positive
PS_250,Opinionated
PS_251,Neutral
PS_252,Sarcastic
PS_253,Opinionated
PS_254,Opinionated
PS_255,Opinionated
PS_256,Sarcastic
PS_257,Opinionated
PS_258,Opinionated
PS_259,Opinionated
PS_260,Opinionated
PS_261,Positive
PS_262,Sarcastic
PS_263,Sarcastic
PS_264,Opinionated
PS_265,Sarcastic
PS_266,Neutral
PS_267,Sarcastic
PS_268,Negative
PS_269,Opinionated
PS_270,Opinionated
PS_271,Sarcastic
PS_272,Sarcastic
PS_273,Opinionated
PS_274,Positive
PS_275,Opinionated
PS_276,Opinionated
PS_277,Sarcastic
PS_278,Opinionated
PS_279,Opinionated
PS_280,Opinionated
PS_281,Opinionated
PS_282,Opinionated
PS_283,Opinionated
PS_284,Opinionated
PS_285,Sarcastic
PS_286,Neutral
PS_287,Sarcastic
PS_288,Opinionated
PS_289,Opinionated
PS_290,Opinionated
PS_291,None of the above
PS_292,Substantiated
PS_293,Opinionated
PS_294,Opinionated
PS_295,Opinionated
PS_296,Sarcastic
PS_297,Negative
PS_298,Sarcastic
PS_299,Substantiated
PS_300,Opinionated
PS_301,None of the above
PS_302,Opinionated
PS_303,Opinionated
PS_304,Sarcastic
PS_305,Opinionated
PS_306,Opinionated
PS_307,Opinionated
PS_308,Opinionated
PS_309,Sarcastic
PS_310,Opinionated
PS_311,Opinionated
PS_312,Positive
PS_313,Positive
PS_314,Opinionated
PS_315,Opinionated
PS_316,Substantiated
PS_317,Sarcastic
PS_318,Opinionated
PS_319,Opinionated
PS_320,Positive
PS_321,Opinionated
PS_322,Sarcastic
PS_323,Opinionated
PS_324,Opinionated
PS_325,Opinionated
PS_326,Opinionated
PS_327,Opinionated
PS_328,Positive
PS_329,Opinionated
PS_330,Neutral
PS_331,Substantiated
PS_332,Opinionated
PS_333,None of the above
PS_334,Opinionated
PS_335,Sarcastic
PS_336,Opinionated
PS_337,Opinionated
PS_338,Opinionated
PS_339,Opinionated
PS_340,Substantiated
PS_341,Sarcastic
PS_342,Positive
PS_343,Opinionated
PS_344,Opinionated
PS_345,Positive
PS_346,Opinionated
PS_347,Opinionated
PS_348,Opinionated
PS_349,Opinionated
PS_350,Opinionated
PS_351,Opinionated
PS_352,Opinionated
PS_353,Opinionated
PS_354,Opinionated
PS_355,Positive
PS_356,Negative
PS_357,Sarcastic
PS_358,Opinionated
PS_359,Neutral
PS_360,Negative
PS_361,Opinionated
PS_362,Sarcastic
PS_363,Opinionated
PS_364,Sarcastic
PS_365,Substantiated
PS_366,Opinionated
PS_367,Negative
PS_368,Opinionated
PS_369,Opinionated
PS_370,Opinionated
PS_371,Opinionated
PS_372,Opinionated
PS_373,Opinionated
PS_374,Opinionated
PS_375,Opinionated
PS_376,Opinionated
PS_377,Opinionated
PS_378,Opinionated
PS_379,Opinionated
PS_380,Substantiated
PS_381,Sarcastic
PS_382,Opinionated
PS_383,Opinionated
PS_384,Sarcastic
PS_385,Opinionated
PS_386,Neutral
PS_387,Opinionated
PS_388,Positive
PS_389,Opinionated
PS_390,Opinionated
PS_391,Opinionated
PS_392,Opinionated
PS_393,Neutral
PS_394,Neutral
PS_395,Opinionated
PS_396,Opinionated
PS_397,Opinionated
PS_398,Negative
PS_399,Opinionated
PS_400,Opinionated
PS_401,Opinionated
PS_402,Opinionated
PS_403,Substantiated
PS_404,Sarcastic
PS_405,Sarcastic
PS_406,Opinionated
PS_407,Neutral
PS_408,Sarcastic
PS_409,Sarcastic
PS_410,Sarcastic
PS_411,None of the above
PS_412,Opinionated
PS_413,Opinionated
PS_414,Sarcastic
PS_415,Sarcastic
PS_416,Sarcastic
PS_417,Sarcastic
PS_418,Positive
PS_419,Opinionated
PS_420,Neutral
PS_421,Opinionated
PS_422,Neutral
PS_423,Opinionated
PS_424,Opinionated
PS_425,Sarcastic
PS_426,Opinionated
PS_427,Opinionated
PS_428,Opinionated
PS_429,Neutral
PS_430,Opinionated
PS_431,Opinionated
PS_432,Negative
PS_433,Positive
PS_434,Opinionated
PS_435,Opinionated
PS_436,Opinionated
PS_437,Opinionated
PS_438,Sarcastic
PS_439,Positive
PS_440,None of the above
PS_441,Opinionated
PS_442,Opinionated
PS_443,Opinionated
PS_444,Opinionated
PS_445,Opinionated
PS_446,Sarcastic
PS_447,Opinionated
PS_448,Opinionated
PS_449,Opinionated
PS_450,Opinionated
PS_451,Opinionated
PS_452,Opinionated
PS_453,Opinionated
PS_454,Opinionated
PS_455,Opinionated
PS_456,Substantiated
PS_457,Sarcastic
PS_458,Sarcastic
PS_459,Opinionated
PS_460,Opinionated
PS_461,Opinionated
PS_462,Opinionated
PS_463,Neutral
PS_464,Opinionated
PS_465,Opinionated
PS_466,Positive
PS_467,Opinionated
PS_468,Sarcastic
PS_469,Opinionated
PS_470,Opinionated
PS_471,Negative
PS_472,Neutral
PS_473,Substantiated
PS_474,Opinionated
PS_475,Opinionated
PS_476,Opinionated
PS_477,Sarcastic
PS_478,Opinionated
PS_479,Positive
PS_480,Opinionated
PS_481,Sarcastic
PS_482,Opinionated
PS_483,Opinionated
PS_484,Opinionated
PS_485,Opinionated
PS_486,Opinionated
PS_487,Opinionated
PS_488,Opinionated
PS_489,Opinionated
PS_490,Opinionated
PS_491,Opinionated
PS_492,Opinionated
PS_493,Sarcastic
PS_494,Sarcastic
PS_495,Opinionated
PS_496,Opinionated
PS_497,Sarcastic
PS_498,Opinionated
PS_499,Substantiated
PS_500,None of the above
PS_501,Substantiated
PS_502,Neutral
PS_503,Opinionated
PS_504,Opinionated
PS_505,Substantiated
PS_506,Opinionated
PS_507,Opinionated
PS_508,Neutral
PS_509,Opinionated
PS_510,Opinionated
PS_511,Opinionated
PS_512,Neutral
PS_513,Positive
PS_514,Sarcastic
PS_515,Opinionated
PS_516,Positive
PS_517,Opinionated
PS_518,Opinionated
PS_519,Opinionated
PS_520,Opinionated
PS_521,Opinionated
PS_522,Substantiated
PS_523,Opinionated
PS_524,Opinionated
PS_525,Opinionated
PS_526,Opinionated
PS_527,Opinionated
PS_528,Opinionated
PS_529,Sarcastic
PS_530,Substantiated
PS_531,Opinionated
PS_532,Opinionated
PS_533,Sarcastic
PS_534,Negative
PS_535,Opinionated
PS_536,Opinionated
PS_537,Opinionated
PS_538,Opinionated
PS_539,None of the above
PS_540,Opinionated
PS_541,Sarcastic
PS_542,Opinionated
PS_543,Positive
PS_544,Positive
